trial,w_min,w_max,mean_weight,lambda_2,lambda_max,tau_crit,tau_used,final_disagreement,convergence_time
1,0.3,2,1.24390496403,0.824201537984,5.8306921963,0.269401346171,0.134700673086,2.65135508141e-10,6.35
2,0.3,2,1.22854913195,0.76945414727,5.69207675393,0.275961901903,0.137980950952,2.37376251294e-10,4.91
3,0.3,2,1.18145660106,0.801034494698,5.02565845856,0.312555327774,0.156277663887,7.57635152634e-11,5.43
4,0.3,2,0.904442070101,0.815919176959,4.04489379957,0.388340560872,0.194170280436,6.11198580638e-11,6.1
5,0.3,2,0.86457247172,0.567591838583,3.76972720326,0.416687002029,0.208343501015,3.98491293208e-08,6.3
6,0.3,2,1.060326866,0.737029565637,4.87800178277,0.32201634947,0.161008174735,3.5262563565e-09,7.48
7,0.3,2,1.45957973706,0.930015862536,6.30807561628,0.249013553792,0.124506776896,4.99605600404e-12,4.84
8,0.3,2,1.16482764119,0.719630370935,4.84572464915,0.32416128454,0.16208064227,5.93233919988e-09,7.62
9,0.3,2,1.20574967404,0.681283910701,5.77301528455,0.272092875104,0.136046437552,2.1687219833e-08,7.86
10,0.3,2,0.922821243199,0.414283274192,4.33094285359,0.362691538516,0.181345769258,5.46175793279e-06,8.49
11,0.3,2,1.04804859234,0.77958611422,5.37477437664,0.292253444837,0.146126722418,1.18914964742e-09,7.2
12,0.3,2,1.07750403361,0.917541793359,4.39043705513,0.357776755952,0.178888377976,3.33457278857e-12,5.71
13,0.3,2,1.2597903011,0.810462455565,6.25713495579,0.251040825856,0.125520412928,4.36953932465e-10,6.53
14,0.3,2,1.15804273794,0.850956594111,4.75404006875,0.330412933858,0.165206466929,2.70581371722e-11,5.75
15,0.3,2,1.24989799304,0.946891635995,5.84926459018,0.268545951816,0.134272975908,6.24705084041e-12,5.71
16,0.3,2,1.27032880905,0.841389043233,5.87116156116,0.267544388011,0.133772194005,1.32912069208e-10,6.06
17,0.3,2,1.00622028669,0.749126121691,4.7354851369,0.331707582515,0.165853791257,1.72495144753e-09,7.16
18,0.3,2,1.70622963524,1.64540574524,6.99049976802,0.224704438727,0.112352219364,9.46135422734e-16,3
19,0.3,2,1.06736395631,0.784474011878,5.21161454065,0.301403013316,0.150701506658,1.05687460911e-10,4.9
20,0.3,2,1.13662224207,0.723830207787,4.93257452595,0.318453642927,0.159226821463,1.9155833665e-09,6.37
21,0.3,2,1.11647691287,0.851694339019,5.28051255521,0.29747042742,0.14873521371,1.49629254744e-11,4.84
22,0.3,2,1.391924305,1.06169021936,6.24474123458,0.251539057871,0.125769528936,2.27165440377e-14,4.06
23,0.3,2,1.2247579404,0.657031098938,5.99182610484,0.262156527795,0.131078263897,4.75754613713e-08,8.09
24,0.3,2,1.06913608159,0.658176747267,4.55076948398,0.345171587426,0.172585793713,2.95356917489e-08,8.04
25,0.3,2,1.32068826336,1.0362960957,5.64185117842,0.278418603596,0.139209301798,2.04567920509e-13,5.16
26,0.3,2,1.30035723074,0.817650305332,5.57383582128,0.281816037853,0.140908018926,4.24299475262e-10,6.88
27,0.3,2,1.03911765816,0.604516654316,4.50526428741,0.348657975778,0.174328987889,1.72296312383e-07,8.9
28,0.3,2,1.14311151,0.853054256752,4.94210899988,0.317839272026,0.158919636013,5.9413258627e-11,6.2
29,0.3,2,1.09335305574,0.816151324454,5.59050692639,0.280975651667,0.140487825834,2.23709836553e-10,6.45
30,0.3,2,1.64383638961,1.43711064107,6.90643957167,0.22743937893,0.113719689465,1.09520279828e-15,3.46
31,0.3,2,1.1922932805,0.932551214245,5.54773819024,0.283141754879,0.14157087744,6.88654376052e-12,5.7
32,0.3,2,1.46918952854,1.3042908318,6.36465221376,0.246800025208,0.123400012604,1.4076209457e-15,4.03
33,0.3,2,1.20652106373,0.923335247801,5.91013374463,0.265780165842,0.132890082921,1.55750821285e-11,5.99
34,0.3,2,1.16211809419,0.797906148968,4.85725145822,0.323392013015,0.161696006508,3.04511698109e-10,6.4
35,0.3,2,0.937176181523,0.71047133773,4.71564223537,0.333103371374,0.166551685687,3.97507331856e-09,7.08
36,0.3,2,1.307147546,0.792891585577,6.15620339218,0.25515666503,0.127578332515,1.0313548214e-09,7.02
37,0.3,2,1.0605739375,0.552296535982,5.101746539,0.307893838862,0.153946919431,1.37695977495e-06,10.35
38,0.3,2,1.43708394428,1.29672937617,6.12934132814,0.256274898509,0.128137449254,1.11576033092e-15,3.98
39,0.3,2,1.14802525616,0.736454387991,5.57352841198,0.281831581484,0.140915790742,6.07290391731e-09,7.77
40,0.3,2,1.29510954607,0.924213419806,5.98536361095,0.262439582438,0.131219791219,8.76118583032e-12,5.47
