model,tau,final_disagreement,convergence_time,final_x,final_y,max_abs_v,max_abs_omega
full_state_delay_unicycle,0.11780972451,1.87132626052e-10,7.01,0.286209378474,0.107254319224,1.5,4
neighbor_only_delay_unicycle,0.11780972451,5.2703488317e-13,8.45,0.280620754051,0.121003602398,1.5,4
