dt,tau,final_disagreement,convergence_time,final_average
0.02,0.196349540849,2.9810715737e-14,4.9,0.166666666667
0.01,0.196349540849,3.9853256699e-14,4.93,0.166666666667
0.005,0.196349540849,6.08216181111e-14,4.985,0.166666666667
