tau_multiplier,tau,tau_crit,tau_over_taucrit,final_disagreement,max_disagreement,convergence_time
0,0,0.392699081699,0,3.3976497887e-15,6.35085296109,6.36
0.25,0.0981747704247,0.392699081699,0.25,2.44091312339e-15,6.35085296109,5.69
0.75,0.294524311274,0.392699081699,0.75,2.81881571347e-11,6.35085296109,6.42
0.95,0.373064127614,0.392699081699,0.95,0.0321954943105,6.35085296109,NaN
1.05,0.412334035784,0.392699081699,1.05,24.6802008988,24.707173322,NaN
