case,lambda_2,lambda_max,tau_crit,tau_used,final_disagreement,convergence_time,final_average
binary_ring,1,4,0.392699081699,0.196349540849,3.9853256699e-14,4.93,0.166666666667
weighted_ring,0.704679044351,4.8995557152,0.320599747834,0.160299873917,7.72089861456e-10,5.27,0.166666666667
