case,final_disagreement,convergence_time,final_x,final_y,max_abs_v,max_abs_omega
unsaturated,7.91836497405e-11,6.22,0.846630544255,0.157566919684,10.5243097809,9.31473689113
saturated,1.87132626052e-10,7.01,0.286209378474,0.107254319224,1.5,4
