"consensus_gain_k","lambda_max","tau_crit","tau_used","tau_over_taucrit","final_disagreement","max_disagreement","convergence_time","path_length_mean"
"0.5","4","0.785398163397","0.628318530718","0.8","0.157451568226","3.40444970264","NaN","8.69622481857"
"1","4","0.392699081699","0.314159265359","0.8","1.78855250174e-05","3.40444970264","12.3","6.06712421772"
"1.5","4","0.261799387799","0.209439510239","0.8","0.024839844805","3.40444970264","NaN","7.80694757577"
"2","4","0.196349540849","0.157079632679","0.8","5.85305812277e-07","3.40444970264","9.18","5.92772343231"
