"model","connected","lambda_2","lambda_max","tau_used","final_global_disagreement","max_disagreement","convergence_time","final_centroid_x","final_centroid_y"
"full_state","1","2","2","0.11780972451","1.56971229859","3.40444970264","NaN","0.576799557772","0.270386458183"
"neighbor_only","1","2","2","0.11780972451","1.58334740417","3.40444970264","NaN","0.557835688453","0.261143309899"
