"extension","model","tau","tau_over_taucrit_reference","desired_clearance","final_edge_distance_error","tail_edge_distance_error","final_disagreement","max_disagreement","convergence_time","path_length_mean"
"potential_field_edge_clearance","full_state","0.157079632679","0.4","1.35","2.22044604925e-16","1.91683738768e-16","1.28037991945","3.40444970264","NaN","3.25802348436"
"potential_field_edge_clearance","neighbor_only","0.157079632679","0.4","1.35","9.03395920726e-06","1.05954965064e-05","1.29164568873","3.40444970264","NaN","3.08518913508"
