"case","model","low_ratio","high_ratio","tau_min","tau_mean","tau_max","tau_min_over_taucrit","tau_mean_over_taucrit","tau_max_over_taucrit","final_disagreement","max_disagreement","convergence_time","practical_stable_flag","path_length_mean"
"mild_edge_delays","full_state","0.1","0.5","0.0457379214531","0.11826603004","0.188780877195","0.116470660576","0.301161972493","0.480726556269","8.25518030786e-09","3.40444970264","6.3","1","4.06982948461"
"mild_edge_delays","neighbor_only","0.1","0.5","0.0457379214531","0.11826603004","0.188780877195","0.116470660576","0.301161972493","0.480726556269","9.25841550182e-09","3.40444970264","7.6","1","3.99998829246"
"heterogeneous_edge_delays","full_state","0.2","0.95","0.156570540171","0.229343618641","0.329973524291","0.398703606573","0.584018729173","0.840270679685","1.83662929596e-06","3.40444970264","6.02","1","4.27103995649"
"heterogeneous_edge_delays","neighbor_only","0.2","0.95","0.156570540171","0.229343618641","0.329973524291","0.398703606573","0.584018729173","0.840270679685","9.33176672593e-09","3.40444970264","7.9","1","4.05461462749"
"stress_edge_delays","full_state","0.8","1.3","0.389946735145","0.415146433529","0.451347055108","0.992991207055","1.05716171205","1.14934583793","0.724349515317","3.40444970264","NaN","0","50.695665862"
"stress_edge_delays","neighbor_only","0.8","1.3","0.389946735145","0.415146433529","0.451347055108","0.992991207055","1.05716171205","1.14934583793","9.66522477282e-09","3.40444970264","9.3","1","4.27554564045"
