"noise_std","tau","tau_over_taucrit","tail_residual_disagreement","final_disagreement","max_disagreement","convergence_time","path_length_mean"
"0","0.157079632679","0.4","9.51631879924e-09","9.51631879924e-09","3.40444970264","7.66","4.01396135367"
"0.02","0.157079632679","0.4","0.00848446396048","0.00598626607266","3.40444970264","34.06","5.79232024774"
"0.05","0.157079632679","0.4","0.0193919730089","0.0149966131354","3.40444970264","NaN","8.65956921015"
"0.1","0.157079632679","0.4","0.0334137076174","0.0285830486965","3.40444970264","NaN","13.5558985402"
