"radius","trial","num_edges","lambda_2","lambda_max","tau_crit","tau_used","tau_over_taucrit","final_disagreement","max_disagreement","convergence_time","path_length_mean"
"4","1","6","0.324869129433","4.21431974338","0.372728322113","0.186364161056","0.5","0.376558882147","3.40444970264","NaN","6.94396958292"
"4","2","6","0.438447187191","4.56155281281","0.344355615567","0.172177807783","0.5","0.185682595954","3.40444970264","NaN","5.82656775063"
"4","3","7","0.697224362268","5.11490754148","0.307101607225","0.153550803613","0.5","6.02619630705e-08","3.40444970264","12.46","5.28710142251"
"4","4","5","0.38196601125","4.30277563773","0.365065822401","0.1825329112","0.5","0.255872017816","3.40444970264","NaN","6.31914585577"
"4","5","11","1","6","0.261799387799","0.1308996939","0.5","3.3169062568e-09","3.40444970264","7.44","4.29476493111"
"4","6","8","0.731185309672","5.11828386558","0.306899024761","0.15344951238","0.5","2.09807157964e-08","3.40444970264","10.08","4.61839946013"
"4","7","8","1","6","0.261799387799","0.1308996939","0.5","2.96965176181e-09","3.40444970264","7.86","4.22705831063"
"4","8","10","1.69722436227","6","0.261799387799","0.1308996939","0.5","3.01203511979e-09","3.40444970264","5.64","4.25884589856"
"5","1","7","0.485863070665","5.08613019765","0.308839189276","0.154419594638","0.5","0.190022160167","3.40444970264","NaN","6.81881418374"
"5","2","8","1","6","0.261799387799","0.1308996939","0.5","4.01011887758e-09","3.40444970264","7.82","4.33672436907"
"5","3","6","0.324869129433","4.21431974338","0.372728322113","0.186364161056","0.5","0.0691100327022","3.40444970264","NaN","4.94747191667"
"5","4","6","0.413094015707","4.3927562472","0.357587864748","0.178793932374","0.5","0.151258761939","3.40444970264","NaN","5.58637958744"
"5","5","6","0.413094015707","4.3927562472","0.357587864748","0.178793932374","0.5","0.234656065797","3.40444970264","NaN","6.36013076934"
"5","6","5","0.324869129433","4.21431974338","0.372728322113","0.186364161056","0.5","0.136140084431","3.40444970264","NaN","4.81378323396"
"5","7","5","0.438447187191","4.56155281281","0.344355615567","0.172177807783","0.5","0.00568908333148","3.40444970264","31.08","4.88274020474"
"5","8","8","0.485863070665","5.08613019765","0.308839189276","0.154419594638","0.5","0.00915295138961","3.40444970264","33.44","4.34132969437"
"6","1","7","0.7639320225","5.2360679775","0.299995403716","0.149997701858","0.5","4.57322940865e-09","3.40444970264","9.74","4.76613330927"
"6","2","7","0.631350628113","5.10709637673","0.307571310765","0.153785655383","0.5","7.98290815795e-05","3.40444970264","18.74","4.95753111405"
"6","3","8","1","6","0.261799387799","0.1308996939","0.5","3.33003878164e-09","3.40444970264","7.28","4.36488666611"
"6","4","7","0.438447187191","4.56155281281","0.344355615567","0.172177807783","0.5","0.0636744809442","3.40444970264","NaN","5.07439840875"
"6","5","9","1","6","0.261799387799","0.1308996939","0.5","4.59956825532e-09","3.40444970264","8.42","4.28194356818"
"6","6","5","0.324869129433","4.21431974338","0.372728322113","0.186364161056","0.5","0.0469197123345","3.40444970264","NaN","4.12625002939"
"6","7","6","0.324869129433","4.21431974338","0.372728322113","0.186364161056","0.5","0.0708075583562","3.40444970264","NaN","5.03129200262"
"6","8","6","0.413094015707","4.3927562472","0.357587864748","0.178793932374","0.5","0.112618694622","3.40444970264","NaN","5.58011178195"
