"N","complete_edge_weight","model","weighted_edge_sum","lambda_2","lambda_max","tau_crit","tau_multiplier","tau_used","final_disagreement","max_disagreement","convergence_time","practical_stable_flag","path_length_mean"
"6","1.5","full_state","22.5","9","9","0.174532925199","0.95","0.165806278939","0.339459242816","3.40444970264","NaN","0","35.1123088569"
"6","1.5","full_state","22.5","9","9","0.174532925199","1.1","0.191986217719","0.349050464039","3.40444970264","NaN","0","35.7307224486"
"6","1.5","full_state","22.5","9","9","0.174532925199","1.5","0.261799387799","0.415381758303","3.40444970264","NaN","0","40.2459061588"
"6","1.5","neighbor_only","22.5","9","9","0.174532925199","0.5","0.0872664625997","3.74543708028e-09","3.40444970264","4.16","1","3.91906373629"
"6","1.5","neighbor_only","22.5","9","9","0.174532925199","0.95","0.165806278939","2.51478055364e-09","3.40444970264","4.7","1","4.05182376223"
"6","1.5","neighbor_only","22.5","9","9","0.174532925199","1.1","0.191986217719","3.77545001332e-09","3.40444970264","4.9","1","4.10150820988"
"6","1.5","neighbor_only","22.5","9","9","0.174532925199","1.5","0.261799387799","4.15070705579e-09","3.40444970264","5.54","1","4.28322446158"
"8","0.5","full_state","14","4","4","0.392699081699","0.5","0.196349540849","5.06111541848e-06","4.36818913208","8.56","1","5.30020472554"
"8","0.5","full_state","14","4","4","0.392699081699","0.95","0.373064127614","0.598486596877","4.36818913208","NaN","0","31.7843705364"
"8","0.5","full_state","14","4","4","0.392699081699","1.1","0.431968989869","0.650351484917","4.36818913208","NaN","0","32.9375920788"
"8","0.5","full_state","14","4","4","0.392699081699","1.5","0.589048622548","0.848095969418","4.36818913208","NaN","0","40.2514509297"
"8","0.5","neighbor_only","14","4","4","0.392699081699","0.5","0.196349540849","4.08158191788e-09","4.36818913208","4.5","1","4.69577453923"
"8","0.5","neighbor_only","14","4","4","0.392699081699","0.95","0.373064127614","3.66292922763e-09","4.36818913208","5.4","1","4.79474638683"
"8","0.5","neighbor_only","14","4","4","0.392699081699","1.1","0.431968989869","3.65215336929e-09","4.36818913208","5.64","1","4.82804374895"
"8","0.5","neighbor_only","14","4","4","0.392699081699","1.5","0.589048622548","3.7891664701e-09","4.36818913208","5.98","1","4.89874697873"
"8","1","full_state","28","8","8","0.196349540849","0.5","0.0981747704247","4.15130396492e-05","4.36818913208","9.38","1","5.39684956179"
"8","1","full_state","28","8","8","0.196349540849","0.95","0.186532063807","0.373077995905","4.36818913208","NaN","0","35.0849620796"
"8","1","full_state","28","8","8","0.196349540849","1.1","0.215984494934","0.417718578396","4.36818913208","NaN","0","39.6929727299"
"8","1","full_state","28","8","8","0.196349540849","1.5","0.294524311274","0.469012542895","4.36818913208","NaN","0","40.4932716267"
"8","1","neighbor_only","28","8","8","0.196349540849","0.5","0.0981747704247","2.91037051929e-09","4.36818913208","4.06","1","4.67032526158"
"8","1","neighbor_only","28","8","8","0.196349540849","0.95","0.186532063807","3.15421050584e-09","4.36818913208","4.56","1","4.75472782798"
"8","1","neighbor_only","28","8","8","0.196349540849","1.1","0.215984494934","4.34125131397e-09","4.36818913208","4.7","1","4.78411489987"
"8","1","neighbor_only","28","8","8","0.196349540849","1.5","0.294524311274","3.89027798749e-09","4.36818913208","5.12","1","4.86551639425"
"8","1.5","full_state","42","12","12","0.1308996939","0.5","0.0654498469498","0.00155254040964","4.36818913208","14.8","1","5.90665163883"
"8","1.5","full_state","42","12","12","0.1308996939","0.95","0.124354709205","0.349328259055","4.36818913208","NaN","0","35.4669092108"
"8","1.5","full_state","42","12","12","0.1308996939","1.1","0.14398966329","0.373186030069","4.36818913208","NaN","0","37.1918048839"
"8","1.5","full_state","42","12","12","0.1308996939","1.5","0.196349540849","0.415299942843","4.36818913208","NaN","0","40.2250770805"
"8","1.5","neighbor_only","42","12","12","0.1308996939","0.5","0.0654498469498","4.18668458003e-09","4.36818913208","4.46","1","4.71894880513"
"8","1.5","neighbor_only","42","12","12","0.1308996939","0.95","0.124354709205","3.10733023841e-09","4.36818913208","5.04","1","4.81112347542"
"8","1.5","neighbor_only","42","12","12","0.1308996939","1.1","0.14398966329","2.28352506107e-09","4.36818913208","5.2","1","4.83641037793"
"8","1.5","neighbor_only","42","12","12","0.1308996939","1.5","0.196349540849","3.82688306484e-09","4.36818913208","5.6","1","4.92187165713"
"10","0.5","full_state","22.5","5","5","0.314159265359","0.5","0.157079632679","9.27628452653e-07","4.54527938131","8.24","1","5.56746571921"
"10","0.5","full_state","22.5","5","5","0.314159265359","0.95","0.298451302091","0.480371788463","4.54527938131","NaN","0","33.7598210024"
"10","0.5","full_state","22.5","5","5","0.314159265359","1.1","0.345575191895","0.552619016201","4.54527938131","NaN","0","37.7011279428"
"10","0.5","full_state","22.5","5","5","0.314159265359","1.5","0.471238898038","0.672236194572","4.54527938131","NaN","0","40.7736704308"
"10","0.5","neighbor_only","22.5","5","5","0.314159265359","0.5","0.157079632679","3.83389490927e-09","4.54527938131","4.3","1","4.88765093909"
"10","0.5","neighbor_only","22.5","5","5","0.314159265359","0.95","0.298451302091","3.47107127791e-09","4.54527938131","4.76","1","4.95377779204"
"10","0.5","neighbor_only","22.5","5","5","0.314159265359","1.1","0.345575191895","3.57884658236e-09","4.54527938131","4.94","1","4.9791254909"
"10","0.5","neighbor_only","22.5","5","5","0.314159265359","1.5","0.471238898038","3.63885599321e-09","4.54527938131","5.4","1","5.07396583216"
"10","1","full_state","45","10","10","0.157079632679","0.5","0.0785398163397","0.000423907543927","4.54527938131","12.24","1","5.81046238653"
"10","1","full_state","45","10","10","0.157079632679","0.95","0.149225651046","0.361960269572","4.54527938131","NaN","0","36.5938315393"
"10","1","full_state","45","10","10","0.157079632679","1.1","0.172787595947","0.38142754473","4.54527938131","NaN","0","39.0336715562"
