"packet_loss_probability","tau","tau_over_taucrit","tail_residual_disagreement","final_disagreement","max_disagreement","convergence_time","path_length_mean"
"0","0.157079632679","0.4","9.51631879924e-09","9.51631879924e-09","3.40444970264","7.66","4.01396135367"
"0.1","0.157079632679","0.4","6.88069504788e-09","6.86683959279e-09","3.40444970264","8.26","4.13898476633"
"0.25","0.157079632679","0.4","2.62688989019e-08","6.69667130259e-09","3.40444970264","10.06","4.39817274995"
"0.4","0.157079632679","0.4","1.52229071097e-06","1.7212295205e-07","3.40444970264","12.68","4.64550417787"
