"case","tau","tau_over_taucrit","final_disagreement","max_disagreement","convergence_time","max_abs_v","max_abs_omega","path_length_mean"
"saturated","0.235619449019","0.6","3.38167933562e-09","3.40444970264","11.14","1.5","4","5.31786442969"
"unsaturated","0.235619449019","0.6","2.47409991536e-05","3.40444970264","16.08","10.6311685902","5.15651490498","9.22687586492"
