"heading_case","tau","tau_over_taucrit","final_disagreement","max_disagreement","convergence_time","path_length_mean"
"original","0.196349540849","0.5","4.06843958188e-09","3.40444970264","9.76","5.05485686888"
"all_zero","0.196349540849","0.5","3.90456218475e-09","3.40444970264","11","5.69563812352"
"opposite_to_motion","0.196349540849","0.5","4.43372647269e-09","3.40444970264","11.74","5.92320480746"
"random","0.196349540849","0.5","1.65326078256e-09","3.40444970264","10.62","5.26533521522"
