"model","tau_multiplier","tau","tau_crit_reference","final_disagreement","max_disagreement","convergence_time","practical_stable_flag","final_centroid_x","final_centroid_y","path_length_mean"
"full_state","0","0","0.392699081699","8.26566209838e-07","3.40444970264","14.46","1","0.366271646947","0.413002402021","4.65161664919"
"full_state","0.25","0.0981747704247","0.392699081699","1.09925879045e-07","3.40444970264","13.3","1","0.42698667288","0.340268399079","4.8272497443"
"full_state","0.5","0.196349540849","0.392699081699","4.06843958188e-09","3.40444970264","9.76","1","0.28843892982","0.321631669028","5.05485686888"
"full_state","0.75","0.294524311274","0.392699081699","2.7301552418e-05","3.40444970264","12.54","1","0.0639968544157","0.223575000386","5.9184209101"
"full_state","0.95","0.373064127614","0.392699081699","0.173558931915","3.40444970264","NaN","0","0.177039521763","0.458615436701","9.80030867076"
"full_state","1.05","0.412334035784","0.392699081699","0.880820513793","3.40444970264","NaN","0","0.153915143218","0.371021508005","38.5173348693"
"full_state","1.2","0.471238898038","0.392699081699","0.937071386746","3.40444970264","NaN","0","0.11130018202","0.516536834427","40.1948835222"
"full_state","1.5","0.589048622548","0.392699081699","1.04955091831","3.40444970264","NaN","0","0.0100711621973","0.157092263108","49.4482527903"
"full_state","2","0.785398163397","0.392699081699","1.23710144234","3.40444970264","NaN","0","-0.284813571832","0.000187836806736","50.2752863192"
"neighbor_only","0","0","0.392699081699","8.26566209838e-07","3.40444970264","14.46","1","0.366271646947","0.413002402021","4.65161664919"
"neighbor_only","0.25","0.0981747704247","0.392699081699","0.000647145208456","3.40444970264","21.24","1","0.179508749683","0.345315426341","4.74881272036"
"neighbor_only","0.5","0.196349540849","0.392699081699","0.00195219736623","3.40444970264","25.02","1","0.153874122561","0.323015348514","4.83120980018"
"neighbor_only","0.75","0.294524311274","0.392699081699","4.11509187759e-05","3.40444970264","20.36","1","0.297195528109","0.285446058655","4.9543272599"
"neighbor_only","0.95","0.373064127614","0.392699081699","0.000358322758835","3.40444970264","21.86","1","0.279834527622","0.228781091499","5.11466677615"
"neighbor_only","1.05","0.412334035784","0.392699081699","0.00043835455642","3.40444970264","22.38","1","0.284005300254","0.21529940798","5.17388676115"
"neighbor_only","1.2","0.471238898038","0.392699081699","0.000689309049227","3.40444970264","25.38","1","0.574090491114","0.192612561965","5.36718639027"
"neighbor_only","1.5","0.589048622548","0.392699081699","0.00135705701542","3.40444970264","25.74","1","0.562286218395","0.156200582676","5.59528251358"
"neighbor_only","2","0.785398163397","0.392699081699","0.00824326052442","3.40444970264","31.36","1","0.483340690285","0.187266794997","6.3335259279"
