"model","weighted_edge_sum","lambda_2","lambda_max","tau_crit","tau_used","tau_over_taucrit","final_disagreement","max_disagreement","convergence_time","path_length_mean"
"full_state","5.93918863929","0.768324732951","4.69883649655","0.3342947404","0.2507210553","0.75","4.81426018159e-07","3.40444970264","12","5.40607094356"
"neighbor_only","5.93918863929","0.768324732951","4.69883649655","0.3342947404","0.2507210553","0.75","0.000167542052482","3.40444970264","21.2","4.98327144269"
