"model","tau_multiplier","tau","tau_crit_reference","final_disagreement","max_disagreement","convergence_time","practical_stable_flag","final_centroid_x","final_centroid_y","path_length_mean"
"full_state","0","0","0.392699081699","9.51999107362e-09","3.40444970264","6.76","1","0.284735804096","0.114202054171","3.9268401506"
"full_state","0.25","0.0981747704247","0.392699081699","8.74802930608e-09","3.40444970264","6.32","1","0.284783916435","0.109475607152","4.02351302607"
"full_state","0.5","0.196349540849","0.392699081699","6.47142084431e-09","3.40444970264","5.88","1","0.282392020674","0.096193015396","4.18098084957"
"full_state","0.75","0.294524311274","0.392699081699","0.60919169684","3.40444970264","NaN","0","0.410184963164","0.0795007989724","26.244828818"
"full_state","0.95","0.373064127614","0.392699081699","0.684164427461","3.40444970264","NaN","0","0.309328070472","0.118005223847","49.8973783512"
"full_state","1.05","0.412334035784","0.392699081699","0.721661457804","3.40444970264","NaN","0","0.275827476219","0.159561260554","50.6982741784"
"full_state","1.2","0.471238898038","0.392699081699","0.777907540272","3.40444970264","NaN","0","0.278808002178","0.189602680546","51.3260896024"
"full_state","1.5","0.589048622548","0.392699081699","0.890401268175","3.40444970264","NaN","0","0.304608940809","0.163369568904","51.7835535414"
"full_state","2","0.785398163397","0.392699081699","1.07789425861","3.40444970264","NaN","0","0.333428621124","0.185081459635","52.0555587191"
"neighbor_only","0","0","0.392699081699","9.51999107597e-09","3.40444970264","6.76","1","0.284735804096","0.114202054171","3.9268401506"
"neighbor_only","0.25","0.0981747704247","0.392699081699","9.50079069306e-09","3.40444970264","7.3","1","0.280032604044","0.120448395659","3.97850344151"
"neighbor_only","0.5","0.196349540849","0.392699081699","9.61312123146e-09","3.40444970264","7.9","1","0.275011135582","0.12612503894","4.04051962501"
"neighbor_only","0.75","0.294524311274","0.392699081699","9.59729157879e-09","3.40444970264","8.52","1","0.270844418449","0.129608778701","4.12300276039"
"neighbor_only","0.95","0.373064127614","0.392699081699","9.67241871043e-09","3.40444970264","9.02","1","0.268634752554","0.128897426868","4.21401002014"
"neighbor_only","1.05","0.412334035784","0.392699081699","9.75157431995e-09","3.40444970264","9.28","1","0.267652347527","0.127586174883","4.27032067971"
"neighbor_only","1.2","0.471238898038","0.392699081699","9.83951864483e-09","3.40444970264","9.64","1","0.266367558378","0.125604571684","4.36964752933"
"neighbor_only","1.5","0.589048622548","0.392699081699","0.000142217933282","3.40444970264","10.48","1","0.218850581343","0.130282772902","4.76014406637"
"neighbor_only","2","0.785398163397","0.392699081699","0.0729826186511","3.40444970264","NaN","1","0.269996926725","0.131621435357","12.0305269052"
