"packet_loss_probability","tau","tau_over_taucrit","tail_residual_disagreement","final_disagreement","max_disagreement","convergence_time","path_length_mean"
"0","0.157079632679","0.4","9.51631880674e-09","9.51631880674e-09","3.40444970264","7.66","4.01396135367"
"0.1","0.157079632679","0.4","7.94846132174e-09","7.94846132174e-09","3.40444970264","8.1","4.02005006699"
"0.25","0.157079632679","0.4","1.18305118556e-08","7.15744303082e-09","3.40444970264","9.44","4.08011330493"
"0.4","0.157079632679","0.4","6.64443153598e-07","5.78892511634e-08","3.40444970264","12.1","4.18430997178"
