"radius","trial","num_edges","lambda_2","lambda_max","tau_crit","tau_used","tau_over_taucrit","final_disagreement","max_disagreement","convergence_time","path_length_mean"
"4","1","6","0.324869129433","4.21431974338","0.372728322113","0.186364161056","0.5","1.8283799667e-05","3.40444970264","16.88","4.49079813358"
"4","2","6","0.438447187191","4.56155281281","0.344355615567","0.172177807783","0.5","1.65164625159e-07","3.40444970264","12","4.1098437242"
"4","3","7","0.697224362268","5.11490754148","0.307101607225","0.153550803613","0.5","8.2268537801e-09","3.40444970264","8.3","4.31281278608"
"4","4","5","0.38196601125","4.30277563773","0.365065822401","0.1825329112","0.5","1.19809936224e-06","3.40444970264","13.18","4.22990593602"
"4","5","11","1","6","0.261799387799","0.1308996939","0.5","4.68700338865e-06","3.40444970264","7.6","4.04467157894"
"4","6","8","0.731185309672","5.11828386558","0.306899024761","0.15344951238","0.5","4.65671572146e-09","3.40444970264","7.68","4.11157265962"
"4","7","8","1","6","0.261799387799","0.1308996939","0.5","1.55479034585e-06","3.40444970264","6.2","3.91562392166"
"4","8","10","1.69722436227","6","0.261799387799","0.1308996939","0.5","5.3917162175e-06","3.40444970264","8.16","4.2922230963"
"5","1","7","0.485863070665","5.08613019765","0.308839189276","0.154419594638","0.5","3.8678182209e-08","3.40444970264","11.02","4.10927344092"
"5","2","8","1","6","0.261799387799","0.1308996939","0.5","6.54224444446e-07","3.40444970264","6.14","3.78027042213"
"5","3","6","0.324869129433","4.21431974338","0.372728322113","0.186364161056","0.5","6.04130694146e-06","3.40444970264","13.7","4.22759068674"
"5","4","6","0.413094015707","4.3927562472","0.357587864748","0.178793932374","0.5","5.0735634404e-07","3.40444970264","13.02","4.21945624245"
"5","5","6","0.413094015707","4.3927562472","0.357587864748","0.178793932374","0.5","6.02885332815e-07","3.40444970264","13.4","4.18020005686"
"5","6","5","0.324869129433","4.21431974338","0.372728322113","0.186364161056","0.5","7.80146390092e-06","3.40444970264","14.44","4.0001394701"
"5","7","5","0.438447187191","4.56155281281","0.344355615567","0.172177807783","0.5","1.40029956219e-07","3.40444970264","11.64","4.03960733823"
"5","8","8","0.485863070665","5.08613019765","0.308839189276","0.154419594638","0.5","2.32915441566e-08","3.40444970264","10.08","4.01413972698"
"6","1","7","0.7639320225","5.2360679775","0.299995403716","0.149997701858","0.5","9.20773064844e-09","3.40444970264","6.82","3.62945781932"
"6","2","7","0.631350628113","5.10709637673","0.307571310765","0.153785655383","0.5","1.05179356361e-08","3.40444970264","8.7","3.96755385579"
"6","3","8","1","6","0.261799387799","0.1308996939","0.5","3.08248865422e-06","3.40444970264","6.5","4.01607820761"
"6","4","7","0.438447187191","4.56155281281","0.344355615567","0.172177807783","0.5","4.50855045538e-07","3.40444970264","12.48","4.14149705886"
"6","5","9","1","6","0.261799387799","0.1308996939","0.5","9.43806246036e-07","3.40444970264","6.08","4.04643695812"
"6","6","5","0.324869129433","4.21431974338","0.372728322113","0.186364161056","0.5","5.81722266502e-06","3.40444970264","13.58","3.98394672941"
"6","7","6","0.324869129433","4.21431974338","0.372728322113","0.186364161056","0.5","1.06654679358e-05","3.40444970264","15.34","4.39678523667"
"6","8","6","0.413094015707","4.3927562472","0.357587864748","0.178793932374","0.5","4.75096013929e-07","3.40444970264","12.88","4.18920918627"
