"model","weighted_edge_sum","lambda_2","lambda_max","tau_crit","tau_used","tau_over_taucrit","final_disagreement","max_disagreement","convergence_time","path_length_mean"
"full_state","5.93918863929","0.768324732951","4.69883649655","0.3342947404","0.2507210553","0.75","0.399574538339","3.40444970264","NaN","25.0075550586"
"neighbor_only","5.93918863929","0.768324732951","4.69883649655","0.3342947404","0.2507210553","0.75","1.20166855615e-08","3.40444970264","9.76","4.1198101576"
