"consensus_gain_k","lambda_max","tau_crit","tau_used","tau_over_taucrit","final_disagreement","max_disagreement","convergence_time","path_length_mean"
"0.5","4","0.785398163397","0.628318530718","0.8","0.927950795313","3.40444970264","NaN","36.1632079318"
"1","4","0.392699081699","0.314159265359","0.8","0.627919538959","3.40444970264","NaN","45.7741187294"
"1.5","4","0.261799387799","0.209439510239","0.8","0.527930087621","3.40444970264","NaN","47.2078968319"
"2","4","0.196349540849","0.157079632679","0.8","0.477938774584","3.40444970264","NaN","45.9061118389"
