"case","tau","tau_over_taucrit","final_disagreement","max_disagreement","convergence_time","max_abs_v","max_abs_omega","path_length_mean"
"saturated","0.235619449019","0.6","0.000145331991951","3.40444970264","6.62","1.5","4","4.41912743133"
"unsaturated","0.235619449019","0.6","0.00815908441591","3.40444970264","33.36","10.622854574","7.33313572505","16.4827553188"
