"dt","tau","tau_over_taucrit","final_disagreement","max_disagreement","convergence_time","path_length_mean"
"0.005","0.196349540849","0.5","7.47389617872e-09","3.40444970264","5.89","4.16014378404"
"0.01","0.196349540849","0.5","7.85285871502e-09","3.40444970264","5.89","4.16713211175"
"0.02","0.196349540849","0.5","6.47142084431e-09","3.40444970264","5.88","4.18098084957"
"0.05","0.196349540849","0.5","5.94424787496e-07","3.40444970264","6.2","4.23815298534"
"0.1","0.196349540849","0.5","0.000181173561968","3.40444970264","6.7","4.46164291157"
