"model","connected","lambda_2","lambda_max","tau_used","final_global_disagreement","max_disagreement","convergence_time","final_centroid_x","final_centroid_y"
"full_state","1","2","2","0.11780972451","1.73367738225","3.40444970264","NaN","0.332395325878","0.152846510436"
"neighbor_only","1","2","2","0.11780972451","1.74089013959","3.40444970264","NaN","0.324856623267","0.15011900703"
