"graph","model","num_edges","lambda_2","lambda_max","tau_crit","tau_used","tau_over_taucrit","final_disagreement","max_disagreement","convergence_time","path_length_mean"
"path","full_state","5","0.267949192431","3.73205080757","0.420893607238","0.210446803619","0.5","9.13402776164e-05","3.40444970264","18.56","4.38221509061"
"path","neighbor_only","5","0.267949192431","3.73205080757","0.420893607238","0.210446803619","0.5","0.000889878671921","3.40444970264","23.84","4.2452065642"
"ring","full_state","6","1","4","0.392699081699","0.196349540849","0.5","6.47142082921e-09","3.40444970264","5.88","4.18098084957"
"ring","neighbor_only","6","1","4","0.392699081699","0.196349540849","0.5","9.61312123146e-09","3.40444970264","7.9","4.04051962501"
"star","full_state","5","1","6","0.261799387799","0.1308996939","0.5","1.89829908236e-06","3.40444970264","6.18","3.97517952012"
"star","neighbor_only","5","1","6","0.261799387799","0.1308996939","0.5","9.01467511301e-09","3.40444970264","6.72","3.80876520694"
"complete","full_state","15","6","6","0.261799387799","0.1308996939","0.5","9.6696355957e-06","3.40444970264","9.6","4.21107194892"
"complete","neighbor_only","15","6","6","0.261799387799","0.1308996939","0.5","1.44876186589e-09","3.40444970264","2.88","3.44718073153"
