"extension","model","tau","tau_over_taucrit_reference","desired_clearance","final_edge_distance_error","tail_edge_distance_error","final_disagreement","max_disagreement","convergence_time","path_length_mean"
"potential_field_edge_clearance","full_state","0.157079632679","0.4","1.35","2.22044604925e-16","2.13072558694e-14","1.29382435895","3.40444970264","NaN","3.27986895976"
"potential_field_edge_clearance","neighbor_only","0.157079632679","0.4","1.35","9.15698506624e-06","1.0727400372e-05","1.29079825014","3.40444970264","NaN","3.08445323496"
