"noise_std","tau","tau_over_taucrit","tail_residual_disagreement","final_disagreement","max_disagreement","convergence_time","path_length_mean"
"0","0.157079632679","0.4","9.51631880674e-09","9.51631880674e-09","3.40444970264","7.66","4.01396135367"
"0.02","0.157079632679","0.4","0.0149540763112","0.0118431184283","3.40444970264","NaN","5.52790398299"
"0.05","0.157079632679","0.4","0.0373695328847","0.0382900646218","3.40444970264","NaN","7.99978987649"
"0.1","0.157079632679","0.4","0.0839666437632","0.090898237577","3.40444970264","NaN","12.1143162309"
