"trial","num_edges","lambda_2","lambda_max","tau_crit","tau_used","tau_over_taucrit","final_disagreement","max_disagreement","convergence_time","path_length_mean"
"1","9","1.38196601125","6","0.261799387799","0.1308996939","0.5","2.36565648728e-06","3.40444970264","5.38","3.98451501933"
"2","8","0.7639320225","5.2360679775","0.299995403716","0.149997701858","0.5","8.00545881508e-09","3.40444970264","6.8","3.88024984203"
"3","10","1.69722436227","6","0.261799387799","0.1308996939","0.5","1.76055549217e-06","3.40444970264","5.62","3.94427221793"
"4","6","0.485863070665","5.08613019765","0.308839189276","0.154419594638","0.5","3.97966294925e-08","3.40444970264","11.14","4.39592846596"
"5","6","1","4","0.392699081699","0.196349540849","0.5","4.48951908657e-08","3.40444970264","6.3","4.20969080124"
"6","8","1.58578643763","5","0.314159265359","0.157079632679","0.5","7.23455247593e-08","3.40444970264","4.18","3.58044104096"
"7","6","0.438447187191","4.56155281281","0.344355615567","0.172177807783","0.5","1.97964975796e-07","3.40444970264","12.38","4.14790511326"
"8","7","0.721586390504","4.89121984871","0.321146130287","0.160573065143","0.5","2.24449259669e-08","3.40444970264","6.96","4.07419917146"
"9","7","1","4.41421356237","0.355849644472","0.177924822236","0.5","6.87706660469e-07","3.40444970264","6.82","4.16525190704"
"10","7","0.485863070665","5.08613019765","0.308839189276","0.154419594638","0.5","2.94142178446e-08","3.40444970264","10.6","3.96340292028"
"11","9","1","6","0.261799387799","0.1308996939","0.5","1.8526326494e-06","3.40444970264","6.04","4.01719772605"
"12","9","1.51880569591","6","0.261799387799","0.1308996939","0.5","1.03913873351e-08","3.40444970264","6.12","4.16831512645"
"13","5","0.324869129433","4.21431974338","0.372728322113","0.186364161056","0.5","5.63244066369e-06","3.40444970264","13.5","4.25282245632"
"14","9","2","5","0.314159265359","0.157079632679","0.5","7.1544904947e-07","3.40444970264","5.88","4.00648204755"
"15","6","0.485863070665","5.08613019765","0.308839189276","0.154419594638","0.5","3.83418020225e-08","3.40444970264","11.48","4.17394338826"
"16","7","0.697224362268","5.11490754148","0.307101607225","0.153550803613","0.5","1.03779440515e-07","3.40444970264","8.12","4.26223074644"
"17","7","0.7639320225","5.2360679775","0.299995403716","0.149997701858","0.5","9.91302714816e-07","3.40444970264","7.46","3.94136631737"
"18","8","0.913869802349","5.51413692934","0.284867123709","0.142433561854","0.5","1.3780816431e-09","3.40444970264","6.1","3.80840444049"
"19","5","0.267949192431","3.73205080757","0.420893607238","0.210446803619","0.5","1.87328424087e-05","3.40444970264","13","3.90842900822"
"20","11","2.38196601125","6","0.261799387799","0.1308996939","0.5","7.39642050779e-09","3.40444970264","5.88","3.98511848705"
